comment,date,sentiment,Positivo,Negativo,Neutro
KKK rally.,2020-11-08T08:04:42Z,-1,0,1,0
Notice how in this speech he says Hillary called him to congratulate him on his win but in Joe Biden's speech he didn't say trump congratulated him because he refuses to acknowledge his defeat.,2020-11-08T08:04:22Z,1,1,0,0
Barron eye-rolling at 20:21 was my entire mood for the last 4 years,2020-11-08T08:01:31Z,-1,0,1,0
Baron looks like he’s seen the future and knows what a shitstorm his father dumped on this nation.  Poor kid.  #Byedon,2020-11-08T08:00:15Z,-1,0,1,0
siri play “FDT” by YG,2020-11-08T08:00:05Z,1,1,0,0
Who’s here after Bidens won?,2020-11-08T08:00:04Z,1,1,0,0
i am genuinely disgusted by this human being i’m sorry,2020-11-08T07:58:48Z,-1,0,1,0
"Trump 4 years ago:  Thanks people for 10 minutes
Biden today:  Talks about how he's going to change the country for the better and EXPLAINS what he's going to do.",2020-11-08T07:57:37Z,1,1,0,0
"Look at the like to dislike ratio for this video, then compare it to Joe Biden’s.  That’s all I’m saying",2020-11-08T07:55:45Z,-1,0,1,0
Watching in 2020. Gtfo trump! Lock him up!,2020-11-08T07:47:26Z,-1,0,1,0
I look back on this and release this guy couldn’t even unify a peanut butter and jelly sandwich.,2020-11-08T07:47:20Z,-1,0,1,0
This looks so much darker then today.,2020-11-08T07:46:00Z,-1,0,1,0
"Analyzing this speech after I just listened to Biden's victory speech, one thing stood out so glaringly here --  the INSINCERITY and HYPOCRISY. Specially after what he tweeted (not that they did not deserve it) about Sessions and Priebus during the reign of chaos.",2020-11-08T07:43:45Z,1,1,0,0
"I am here from the 2024, when Donal Trump again won the presidential election and became 47th US president.....",2020-11-08T07:41:45Z,1,1,0,0
I came here because creepy Biden's screaming speech was so very annoying.  I'd rather have a scarecrow as a President than Joe.,2020-11-08T07:36:11Z,-1,0,1,0
"Sorry I had to come to compare.  Let's see he banned muslims from entering, separated kids from family in border camps,  used force to clean up blm protesters for photo up,  didn't do squat about covid 19,  insult vets as suckers and losers, insult asians for a movie winning awards, and so much more.  Some uniter huh?",2020-11-08T07:35:12Z,-1,0,1,0
barron seems so sad,2020-11-08T07:33:30Z,-1,0,1,0
"ah well, America being great again was good while it lasted.

Don't cry like a leftist because it's over. Smile like a rightist because it happened",2020-11-08T07:31:06Z,1,1,0,0
Who is here after Biden speech,2020-11-08T07:28:07Z,0,0,0,1
The tides have changed.,2020-11-08T07:27:23Z,-1,0,1,0
Bunch of racists get together and celebrate marginalizing minority groups.,2020-11-08T07:20:51Z,0,0,0,1
Trump’s lack of leadership lost him re-election four years later. President For All Americas that’s hilarious because if he was that he wouldn’t be saying there’s voter fraud and just take the L. He should be a man and congratulate Biden and Harris.,2020-11-08T07:20:49Z,1,1,0,0
"I'd rather walk around in Kensington in philly by myself as a 5 ft tall female, than be at a MAGA ralley or anywhere a bunch of white supremacists gather and chant ""USA! USA!""......and I'm white.",2020-11-08T07:20:33Z,1,1,0,0
Yeah and what did he do.  nothing he said here.....  my god thank you for getting me though this..,2020-11-08T07:14:45Z,0,0,0,1
Barron looks like it's past his bedtime he's looks like he's either bored or going to fall asleep on stage!!! At least this election he could go to sleep on time.,2020-11-08T07:14:35Z,-1,0,1,0
"Bidens Victory speech was so uplifting and happy compared to this


Your FIRED trump hahahha",2020-11-08T07:14:32Z,1,1,0,0
I can finally watch this with the fact he'll go down in history as a failed 1 term POTUS,2020-11-08T07:04:35Z,-1,0,1,0
And today we have Impeached Resident Conald Trump and President Joe Biden,2020-11-08T07:04:22Z,1,1,0,0
One term,2020-11-08T07:00:00Z,-1,0,1,0
"After i watched the victory speech of biden im just like how did this Barbie Ken-doll actually win

Make america great again,
Joe Biden",2020-11-08T06:59:06Z,1,1,0,0
I think the only positive thing about this speech is that he wasn't wearing NEARLY as much fake tan as he did in his speeches this year....,2020-11-08T06:56:42Z,1,1,0,0
"I am watching this now, after I watched Biden's election victory speech, who else ?😁",2020-11-08T06:56:37Z,1,1,0,0
"He said for those who didn’t vote for me which are very few. Dump, Hilary has won the popular. He was undermining his opponents, that’s why they fired him now. Raise your hand if you’ve been missed for Trump’s comedy.",2020-11-08T06:49:28Z,-1,0,1,0
Trump supporters reliving this moment right now,2020-11-08T06:49:01Z,1,1,0,0
8 yrs? 😂😂😂😂,2020-11-08T06:47:58Z,0,0,0,1
Who is hear after listening to VP elect Kamala  Harris and President elect Joe Biden Speach.,2020-11-08T06:43:15Z,1,1,0,0
"Whose here after Biden's victory speech ???
Like here if u did so!!!",2020-11-08T06:41:07Z,1,1,0,0
Barron is soooooo cute,2020-11-08T06:40:01Z,1,1,0,0
"I feel kiNda bad for trump because he lost so much money for the country, our lifetime might not even be able to buy. But Joe biden is keeping good sport. Thats great, hopefully donald trump mends at least some of his mistakes",2020-11-08T06:37:09Z,-1,0,1,0
How many people are comparing the speach in 2020 :),2020-11-08T06:37:05Z,-1,0,1,0
After hearing Obama’s speech this sounds like absolute dogshit,2020-11-08T06:27:31Z,1,1,0,0
Who's here after Biden's win?,2020-11-08T06:23:01Z,1,1,0,0
Who here is watching after watching Joe Biden’s President Elect speech?,2020-11-08T06:22:12Z,1,1,0,0
When you look At Biden's Victory Speech and compared it to this 4 years ago you can tell it was so different. We the people realized we elected the wrong person to be President.,2020-11-08T06:18:44Z,1,1,0,0
The stark contrast between Trump and Biden. This is all so surreal. It's finally time to restore the soul of America.,2020-11-08T06:16:18Z,1,1,0,0
God this speech is a mess,2020-11-08T06:15:19Z,-1,0,1,0
Trump supports who are distraught about Trump losing his second term...... “**ck your feelings!”,2020-11-08T06:10:16Z,-1,0,1,0
We'll miss his hilarious humour,2020-11-08T06:08:49Z,-1,0,1,0
Completely went against everything he said in this speech,2020-11-08T06:05:59Z,-1,0,1,0
Anyone notice that he mentions everyone on the stage except pence n then at the end when he remembers to say thank you to pence he gives these super aggressive handshakes pulling him in intensely? Odd,2020-11-08T06:03:26Z,1,1,0,0
Just comparing and contrasting the differences after Biden and Kamala’s victory,2020-11-08T06:02:22Z,1,1,0,0
Biden's speech was way better than Trump's,2020-11-08T05:56:16Z,1,1,0,0
Bye trump 🇺🇸 your speech was full of insults and hate Biden’s was full of respect and promise❤️,2020-11-08T05:49:04Z,-1,0,1,0
"Hilary called you to congratulate you, now you call Biden to congratulate him 😌",2020-11-08T05:42:50Z,1,1,0,0
"mike pence is an actual brick wall. kamala's words hold true power and were delivered with such humility and fucking grace. so powerful, so moving.",2020-11-08T05:40:14Z,1,1,0,0
"This Trump speech is really really bad, nothing really really great about it, Biden is  very very excellent compared to yours. Really really sorry Trump but you're fired fired fired....",2020-11-08T05:37:07Z,-1,0,1,0
His kid makes this video gold,2020-11-08T05:34:56Z,1,1,0,0
1 term president! Pathetic! Biden2020,2020-11-08T05:33:15Z,-1,0,1,0
Come here after the Biden speech. WOW what a different.,2020-11-08T05:32:08Z,1,1,0,0
"I just wanna type ""who's here after Biden won and did election speech"", I quit immediately since I read many same sentences below😄I am too late here.",2020-11-08T05:29:10Z,-1,0,1,0
I mean you can just look at this guy for a second and say he's evil right away.,2020-11-08T05:28:29Z,-1,0,1,0
This is so awkward... You can just tell the difference between him and Biden,2020-11-08T05:27:24Z,1,1,0,0
It’s so weird to see them all up there close and no masks,2020-11-08T05:25:42Z,0,0,0,1
Came here from Mr Biden's speech to see the difference.,2020-11-08T05:24:35Z,1,1,0,0
I wanted to see how bad this was after seeing such an amazing one from Biden/Harris,2020-11-08T05:16:05Z,-1,0,1,0
Pence’s speech cannot compare to the great speech Kamala Harris gave tonight!!,2020-11-08T05:11:29Z,-1,0,1,0
Biden 2020 💙💙💙,2020-11-08T05:09:05Z,1,1,0,0
I'm watching this just to see how much better Biden's speech was compared to this one.,2020-11-08T05:08:14Z,1,1,0,0
Anyone here in November 2020? Just seeing how things differ.,2020-11-08T05:08:13Z,-1,0,1,0
President Biden brought me here... America was really lost these past four years.,2020-11-08T05:07:43Z,-1,0,1,0
Oh man I remember how sad this day was. I'm so glad Biden is now going to be our president thank the lord,2020-11-08T05:04:43Z,-1,0,1,0
Biden's was better,2020-11-08T04:58:40Z,1,1,0,0
Look atchu now mane look atchu now lolz,2020-11-08T04:58:21Z,1,1,0,0
dont mind me im here to compare,2020-11-08T04:52:50Z,-1,0,1,0
Who is here for comparison?,2020-11-08T04:49:35Z,0,0,0,1
President.Biden's speech is 10x better than trumps,2020-11-08T04:41:35Z,1,1,0,0
Quien vino a ver el speech de trump después de escuchar el speech de Biden?,2020-11-08T04:41:05Z,1,1,0,0
Thanks for all Mr. Trump now lets move for another mission.,2020-11-08T04:39:39Z,1,1,0,0
Who’s here after Trump’s ass got whooped?,2020-11-08T04:38:28Z,1,1,0,0
This makes me uncomfortable,2020-11-08T04:37:15Z,-1,0,1,0
"Nobody:



The comment section: who’s here after Biden won?",2020-11-08T04:36:35Z,-1,0,1,0
Look at you now,2020-11-08T04:35:06Z,1,1,0,0
"Anybody here after finding out, that America has a new Vice POTUS and a New POTUS of the United States of America. BIDEN 2020",2020-11-08T04:32:13Z,1,1,0,0
Interesting that he is saying a lot of the same things Biden does.,2020-11-08T04:29:14Z,1,1,0,0
Imagine listening this speech again ... today! #Biden2020,2020-11-08T04:26:28Z,1,1,0,0
i had to search this because this was not memorable at all 😕  or maybe because i didn't gaf,2020-11-08T04:26:16Z,-1,0,1,0
"Sadly this was one of his better moments, then he went with American Carnage speech not long after",2020-11-08T04:25:00Z,-1,0,1,0
"LOOKING BACK IM JUST GLAD HE DID NOT WIN AGAIN!!! CANT WAIT UNTIL JAN 20 THAT HE LEAVES THE WHITE HOUSE WHICH WAS DISGRACED WITH THIS HORRIBLE PERSON AND HIS WHOLE FAMILY THERE.  ALL THE PREVIOUS PRESIDENTS THAT HAVE PASSED AWAY, OUR FOUNDING FATHERS EVEN, ARE ALL TURNING IN THERE GRAVES WITH DISGUST!!!!",2020-11-08T04:24:19Z,-1,0,1,0
The downfall of america lets hope joe biden can turn it around,2020-11-08T04:20:09Z,-1,0,1,0
4 Years later ‘You’re fired’ 😂,2020-11-08T04:18:55Z,1,1,0,0
one thing that i noticed with Trump is that he always look like he is doing everything because he's obligated to rather than really wanting to change America. it almost feels like everything that he does is because he wants power or wants to prove a point. he's always so grumpy and arrogant,2020-11-08T04:09:00Z,-1,0,1,0
I bet I’m the only one to watch this after Biden’s speech. Absolutely no one else did this,2020-11-08T04:06:21Z,1,1,0,0
"Joe's speech was better 
Glad this orange fuckhead is gone",2020-11-08T04:04:21Z,-1,0,1,0
What a shitty speech,2020-11-08T04:01:51Z,-1,0,1,0
Does anyone else just look at barron the whole time 😭 he looks so bored,2020-11-08T03:59:51Z,-1,0,1,0
Biden’s speech was a lot better,2020-11-08T03:55:43Z,1,1,0,0
"Who has the last laugh now? It feels great to vote this son of a bitch out. Joe Biden just made you into a one term president, SAD! Now get your ass and your whole corrupt family out of the White House.",2020-11-08T03:53:34Z,-1,0,1,0
What’s really funny is the like to dislike ratio,2020-11-08T03:53:02Z,-1,0,1,0
POV: You're here after Joe Biden's speech,2020-11-08T03:50:27Z,1,1,0,0
The difference between this and Joe's speech is crazy. This guy is a bozo,2020-11-08T03:48:32Z,1,1,0,0
Biden's speech and DT's just a stark contrast. Trump has done absolutely nothing especially with the coronavirus.,2020-11-08T03:48:25Z,1,1,0,0
Interesting song choice. Sympathy for the Devil 😈,2020-11-08T03:47:44Z,1,1,0,0
2024 : who is here after kaynes win ???,2020-11-08T03:45:34Z,1,1,0,0
I'm comparing President Biden's speech to this bafoon and is this guy talking to kindergarten children or to grown people? I cant tell. Oh wait hes talking to bafoons as well. Viva America,2020-11-08T03:45:02Z,1,1,0,0
"I'm here after Biden's victory speech and wow, his was so much more inspiring and heartfelt. Biden 2021!",2020-11-08T03:43:11Z,1,1,0,0
I think Biden 2020 speech was the best,2020-11-08T03:42:12Z,1,1,0,0
Hahahahhahahahaha Biden2020 !!!!! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,2020-11-08T03:38:56Z,0,0,0,1
"So...
It's November 7th 2020 and Joe Biden has won the election.",2020-11-08T03:38:50Z,1,1,0,0
"God I love hearing people chant USA, won’t have them for the next four years",2020-11-08T03:37:58Z,1,1,0,0
lol,2020-11-08T03:35:25Z,1,1,0,0
wow this speech had... no emotion. 😭 didn't feel anything compared to tonight. 😭😭,2020-11-08T03:34:43Z,-1,0,1,0
"Like of you're watching this just to see the Trump winning speech again after you saw bidens speech.

I'm right, right?",2020-11-08T03:34:18Z,1,1,0,0
Who's watching this after hearing Biden's victory speech as the new president?,2020-11-08T03:33:29Z,1,1,0,0
Who is here after Biden win the election,2020-11-08T03:31:17Z,1,1,0,0
anyone also here comparing his speech to Bidens? yea me too,2020-11-08T03:30:58Z,1,1,0,0
"biden is like running, yet this slow pokes is like...",2020-11-08T03:30:48Z,0,0,0,1
"19:32 trump said “i will not let you down, we will do a great job 
2020 - “shitshow”",2020-11-08T03:30:00Z,1,1,0,0
I’m so confused on how this was his speech & then he completely tanked this country. & completely changed the way he addressed Americans .his way of speech has changed so much. This is so appalling how he fooled so many Americans & they are still supporting him as his acts like a complete child.,2020-11-08T03:27:23Z,-1,0,1,0
Trump is out! 2020! Finally!!!,2020-11-08T03:27:01Z,1,1,0,0
now we look back,2020-11-08T03:23:01Z,0,0,0,1
all trump had to do was take covid19 more serious stop mocking it and take the loss and sign nancy pelosis heros act for stimulus and he would of been unbeatable,2020-11-08T03:22:32Z,-1,0,1,0
It seems me it was yesterday. Time passes too fast,2020-11-08T03:22:16Z,-1,0,1,0
Dude literally said nothing for 20 minutes lol,2020-11-08T03:18:01Z,-1,0,1,0
"you know watching these 4 year old videos of people is just surprising how much appearance changes in that little of time, especially baron he is as tall as a tree now",2020-11-08T03:17:42Z,1,1,0,0
Was up with that kid ? Lol,2020-11-08T03:16:10Z,1,1,0,0
A two minute speech from Pence?,2020-11-08T03:12:55Z,0,0,0,1
Did we rebuild our infrastructure? I think I missed it.,2020-11-08T03:12:50Z,-1,0,1,0
Damn we really upgraded with Biden didn’t we? I’m so happy these four years are over.,2020-11-08T03:12:27Z,-1,0,1,0
i voted for Obama in 2008 was tired of his failure by 2012 voted for Kerry. switched my party to republican in 2016 and voted for trump then and this time,2020-11-08T03:12:08Z,0,0,0,1
4 years later😆😆😆😆😆😆😆,2020-11-08T03:10:36Z,-1,0,1,0
I’m here after the Biden Harris victory speech because I didn’t watch this in 2016 because it was at like 2:00am,2020-11-08T03:10:09Z,1,1,0,0
HAHAHAHAHAHAHAHHAHAAHAHHAHAHAHHA🔵🔵🇺🇸,2020-11-08T03:10:02Z,0,0,0,1
2:29 lol,2020-11-08T03:08:43Z,1,1,0,0
Who’s here after biden’s win?,2020-11-08T03:07:27Z,1,1,0,0
OMG! I came here because I don’t remember even listening to this ass. BIDEN/HARRIS!!! Their speech was inspirational unlike the sheot we’ve been listening to every time this fascist stepped up to a podium.,2020-11-08T03:05:29Z,-1,0,1,0
Biden defeated Trump tonight,2020-11-08T03:05:23Z,-1,0,1,0
Lol the young one don’t want to be there lol,2020-11-08T03:03:06Z,1,1,0,0
anyone else notice a difference in trumps crowds and bidens crowd,2020-11-08T03:01:38Z,0,0,0,1
Where are the fire work no fire works wow just watch biden vitory speech and those 🔥 🔥 🔥 works so beautiful 🇺🇸 🇺🇸 🇺🇸,2020-11-08T02:58:24Z,1,1,0,0
Who is here after trumps defeat?,2020-11-08T02:57:07Z,-1,0,1,0
Who's here after biden win 👀👀,2020-11-08T02:56:22Z,1,1,0,0
After Biden Speech.,2020-11-08T02:55:21Z,0,0,0,1
Looooooooooooooserrrs!!,2020-11-08T02:55:18Z,0,0,0,1
Anybody know if he’s called Biden ? 🤔,2020-11-08T02:54:04Z,0,0,0,1
Who is here after Biden Speech?,2020-11-08T02:54:00Z,0,0,0,1
I came for the “who’s here after Biden’s speech” comments,2020-11-08T02:53:10Z,1,1,0,0
And now we have a new right-wing boomer in the White House. Fantastic.,2020-11-08T02:52:11Z,1,1,0,0
"The music by the rolling Stones, lyrics ""you can't always get what you want"" for Trump's stage music says so much about a lot of us in the country felt when he became president of the USSR annex",2020-11-08T02:51:55Z,1,1,0,0
I came right after Joe Biden's speech to see the difference. Who else?,2020-11-08T02:50:03Z,1,1,0,0
Who is here after Biden winning the 2020 election?,2020-11-08T02:47:25Z,1,1,0,0
I am here after Biden's speech to compare. Trump never did anything to unite America as one people.,2020-11-08T02:47:01Z,1,1,0,0
BIDEN 2020 YALL!!! 🇺🇸🇺🇲🇺🇸🇺🇲🇺🇸🇺🇲,2020-11-08T02:46:53Z,1,1,0,0
this aged poorly,2020-11-08T02:46:31Z,-1,0,1,0
"Lol awesome song Tom petty.
First words (lyrics) to a great song. You CAN'T  always get what you want. 
Trump you're not getting 4 more years. Ha ha ha 
YOU'RE FIRED !!",2020-11-08T02:45:37Z,1,1,0,0
Who’s here after Biden’s victory speech?? loll,2020-11-08T02:44:10Z,1,1,0,0
"Well, thankfully it was not eight years of this. #imridinwithbiden",2020-11-08T02:43:20Z,1,1,0,0
YOU ARE FIREEEEED!!!!! Biden 2020!!!!,2020-11-08T02:42:51Z,1,1,0,0
Speaking of this presidentcy should be considered a Felony. It shall be etched from history..  #forget45,2020-11-08T02:42:22Z,1,1,0,0
Came here after Biden’s epic speech lol,2020-11-08T02:41:31Z,1,1,0,0
Who was divided as a nation??,2020-11-08T02:41:24Z,1,1,0,0
Barron at that time was still a cute little boy...,2020-11-08T02:40:45Z,1,1,0,0
"This was a such disappointment after watching Biden and Harris’ speeches #2020sucks
#comeon2021",2020-11-08T02:40:18Z,-1,0,1,0
I applaud ME Me Meeeeeeeeeeeeeeeeee,2020-11-08T02:39:57Z,1,1,0,0
Trump applauding HIMSELF is Historical!!!,2020-11-08T02:39:30Z,1,1,0,0
Wow Mike NOT MUCH to say???,2020-11-08T02:38:24Z,1,1,0,0
Thanks Mother...@2:00,2020-11-08T02:37:27Z,1,1,0,0
A historic night? Why two old white dudes got elected ??,2020-11-08T02:37:10Z,1,1,0,0
notice the difference in environment and speaker compared to bidens elect speech?,2020-11-08T02:29:41Z,1,1,0,0
kamala's and biden's speeches were so much better,2020-11-08T02:29:34Z,1,1,0,0
Am I the only one that heard a dude literally yell “Kill Obama” at 9:48 ?? 😡  and that little kid reacted too it like WTF!!,2020-11-08T02:28:39Z,-1,0,1,0
Somebody should have played this in public just to prank them.,2020-11-08T02:28:19Z,-1,0,1,0
"""and i promise you that i will not let you down.""
ummmmmm-
🤡🤡🤡




n e ways,,, *BIDEN 2020.*",2020-11-08T02:27:24Z,1,1,0,0
who else is here after biden’s speech?,2020-11-08T02:26:58Z,-1,0,1,0
Whose watching after Barron Trump becomes the 52nd president of the united states and wanted to compare the speeches?,2020-11-08T02:26:45Z,1,1,0,0
He didn’t mean any of it lol,2020-11-08T02:26:27Z,-1,0,1,0
🔊👴🏻👩🏻Joe BIDEN 2020 U.S.A. 🇺🇸💙💙💙💙💞,2020-11-08T02:26:15Z,1,1,0,0
"Quite a different speech and atmosphere from the Harris Biden speech tonight. You can’t feel any love here. Trump barely got applause, his kid looked physically ill the whole time. He’s broken a lot of promised and hasn’t done a lot of what he said. What a joke.",2020-11-08T02:24:48Z,-1,0,1,0
Hahaha...hahahaaha...HAHAHAHaaH..HAHAHAHAHAHAHAHAAAAAAAAAAAAH!,2020-11-08T02:24:42Z,1,1,0,0
"Pack your things trump~! And to the rest of America, Biden will be your president! F your feelings",2020-11-08T02:24:34Z,0,0,0,1
Telling all those lies,2020-11-08T02:23:35Z,-1,0,1,0
Watching this after Biden’s victory speech,2020-11-08T02:23:03Z,1,1,0,0
Who is here after biden’s win ? :D,2020-11-08T02:22:49Z,1,1,0,0
"Phewwww it’s over yall.
It’s over.
It was a hard four years. But after watching Biden’s speech, I have hella hope😌😌👍💙♥️",2020-11-08T02:21:49Z,1,1,0,0
LOSER HAHAHAHA,2020-11-08T02:21:24Z,1,1,0,0
oh how the turn tables,2020-11-08T02:21:19Z,-1,0,1,0
Anyone here after Bidens speech?,2020-11-08T02:21:03Z,-1,0,1,0
LOL I’m just comparing the two speeches and I feel so much more moved by Biden’s,2020-11-08T02:19:32Z,0,0,0,1
Here after Biden's win LMAO,2020-11-08T02:19:27Z,1,1,0,0
LOL So no fireworks for Trump huh,2020-11-08T02:19:10Z,1,1,0,0
Please just concede and use your last 2 months in office to create a great legacy.,2020-11-08T02:18:19Z,0,0,0,1
Who’s here to see the ‘who’s here’ comments?,2020-11-08T02:18:12Z,1,1,0,0
"Who’s here after Biden’s speech?

               👇",2020-11-08T02:18:08Z,0,0,0,1
who is here after biden victory speech xd,2020-11-08T02:17:54Z,1,1,0,0
"I am here after hearing Biden's speech to make comparation and wow, Biden's was such a breath of fresh SANE air",2020-11-08T02:14:18Z,1,1,0,0
"This was actually a very nice speech, of course he did exactly the opposite to most his words here.",2020-11-08T02:13:06Z,1,1,0,0
Trump and Pence blew it. I dont see Biden fit for presidency. Hopefully in four years the Gop can find someone better than Trump and Biden combined cause America needs it.,2020-11-08T02:12:27Z,-1,0,1,0
Who's here after waching trump leaving the white house🤣,2020-11-08T02:12:16Z,-1,0,1,0
"Tonight, this stings for Donald.",2020-11-08T02:11:41Z,-1,0,1,0
Anybody here after watching Biden speak at his victory party?,2020-11-08T02:11:24Z,1,1,0,0
"Lmao this is sad... I mean because there’s no firework, no music, not a lot of applause or whoop 🤣🤣🤣 
Biden had everyone and beautiful fireworks 💥 Biden 2020!",2020-11-08T02:11:17Z,0,0,0,1
Who’s here after the Biden victory speech💙,2020-11-08T02:10:46Z,1,1,0,0
Bye bitch,2020-11-08T02:09:09Z,0,0,0,1
Vine aquí porque Trump perdió. 😅,2020-11-08T02:07:34Z,1,1,0,0
"Who's here after Joe Biden's speech?
👇🏻",2020-11-08T02:06:50Z,1,1,0,0
"Notice how he didn’t say his sons name until last, that’s sad man",2020-11-08T02:05:54Z,-1,0,1,0
"Watching this after seeing President-Elect Biden's speech tonight, it is such a different feeling.  The contrast is striking between the two.",2020-11-08T02:05:44Z,1,1,0,0
Who’s here after Joe Biden president elect speech?,2020-11-08T02:05:37Z,1,1,0,0
OK. Now it's time to tuck that tail between your legs Trump.. 😊,2020-11-08T02:05:10Z,1,1,0,0
Is anyone here after hearing Bidens first speech to compare to this tangerine lunatic,2020-11-08T02:04:55Z,1,1,0,0
19:39 lebron circa 2012 💀,2020-11-08T02:04:48Z,-1,0,1,0
Oreos are tasty 😋,2020-11-08T02:04:31Z,1,1,0,0
Imagine saying that it's time stop division and cause America to divide more than ever during the last 50+ years,2020-11-08T02:04:12Z,-1,0,1,0
"See ya later, it has (not) been a good 4 years",2020-11-08T02:03:54Z,1,1,0,0
2020🤪🤪,2020-11-08T02:03:28Z,0,0,0,1
IT'S OVER. FOREVER. WE SURVIVED THIS.,2020-11-08T02:03:04Z,-1,0,1,0
Who's watching in 2020?,2020-11-08T02:02:48Z,1,1,0,0
I just came here after Joe Biden’s Victory speech just to see how the tables have turned.,2020-11-08T02:02:45Z,1,1,0,0
Who’s here after biden’s win,2020-11-08T02:02:41Z,1,1,0,0
Who’s here after trump lost hahahaha Biden 2020 baby,2020-11-08T02:02:24Z,-1,0,1,0
Lol bidens speech was better,2020-11-08T02:02:15Z,1,1,0,0
Who’s here when Biden and Kamala won?,2020-11-08T02:01:26Z,1,1,0,0
BIDEN 2020 💙💙,2020-11-08T02:00:31Z,1,1,0,0
Who's here after the wonderfull speech from Joe Biden?,2020-11-08T02:00:18Z,1,1,0,0
TRUMP 2020,2020-11-08T01:59:25Z,1,1,0,0
WHY ARE YOU NOT SOCIAL DISTANCING.  BIDEN 2020,2020-11-08T01:58:55Z,1,1,0,0
Trump elected....OUT OF HERE!!!! 👍👍👏👏👏👏👏👏👏,2020-11-08T01:57:49Z,1,1,0,0
Hahahahahaha,2020-11-08T01:57:46Z,1,1,0,0
***************Victory Donald J Trump *************************The People have spoken**********************,2020-11-08T01:57:03Z,1,1,0,0
Liar!,2020-11-08T01:55:51Z,-1,0,1,0
This man Biden just copied every word trump said in this speech.,2020-11-08T01:51:11Z,0,0,0,1
RACIST SHITS,2020-11-08T01:50:59Z,-1,0,1,0
Anyone here after Biden's speech?,2020-11-08T01:47:24Z,-1,0,1,0
Anyone else watching this on the day Joe Biden got elected?,2020-11-08T01:46:05Z,0,0,0,1
Oh bring back the good times,2020-11-08T01:45:14Z,1,1,0,0
Even more disgusting now than it was in 20 16,2020-11-08T01:41:12Z,-1,0,1,0
"Nightmare is finally over in 2020, f**k Trump!",2020-11-08T01:40:44Z,-1,0,1,0
Who is here after the 2020 election?,2020-11-08T01:33:19Z,0,0,0,1
I wish it would happen again!!!,2020-11-08T01:14:58Z,-1,0,1,0
Who’s here after trump lost won 😏,2020-11-08T00:51:15Z,-1,0,1,0
"Bye, Bye Donald Trump.",2020-11-08T00:42:17Z,-1,0,1,0
This aged well 😂,2020-11-08T00:35:12Z,-1,0,1,0
"I don’t hate Trump personally, actually kinda like his non-politician BS style speech. BUT he got problem appointing his cabinet and other important positions. Well, I’m glad to see Stephan Miller will be gone soon.",2020-11-08T00:31:45Z,-1,0,1,0
Waited 4 years for this to be undone!!! Joe Biden is the True President,2020-11-08T00:25:40Z,1,1,0,0
Let the MAGA tears roll,2020-11-08T00:22:55Z,-1,0,1,0
At least trump won’t be making a book “what happened “ after this election result lol,2020-11-08T00:20:46Z,1,1,0,0
LOL RIP,2020-11-08T00:10:45Z,-1,0,1,0
The good ole days 😢😢😢,2020-11-07T23:49:09Z,1,1,0,0
"You're fired, Donald. Bye.",2020-11-07T23:36:44Z,1,1,0,0
"It will be great to see this same room full of people, but this time, crying because they are losers. 😂😂😂😂😂😂😂😂😂😂😂",2020-11-07T23:13:08Z,-1,0,1,0
Adios Trump! The first and last term,2020-11-07T23:09:53Z,0,0,0,1
"Donald Trump: *Win elections in 2016*

Joe Biden: I'm going to end this man's whole career !",2020-11-07T22:42:06Z,-1,0,1,0
"Well, this aged like milk left in the sun.",2020-11-07T22:37:45Z,-1,0,1,0
"4 years later, Trump supporters y’all good? What a tough day, let me know if you want to talk about it",2020-11-07T22:23:15Z,1,1,0,0
thank godness trump is like a comedian but a joke as a president,2020-11-07T22:14:28Z,1,1,0,0
Who's watching this on November 7th 2020??? I'm from the UK and today I am thrilled for the USA!,2020-11-07T21:38:51Z,1,1,0,0
Anyone here after Trump lost in 2020 just to reminisce?,2020-11-07T21:26:51Z,-1,0,1,0
Trump 2020❤️❤️❤️,2020-11-07T20:24:49Z,1,1,0,0
"Watching this 4 years later after his attitude after losing the election against Biden just shows how pathetic he was as a Presidente, as an American and as a man. Thanks god he's being kicked out. Which for him must be incredibly butt-hurting, being a narcissist and a bully. Loser.",2020-11-07T20:19:19Z,-1,0,1,0
Who’s here after Trump Loss?,2020-11-07T20:06:18Z,-1,0,1,0
4 years later BYE BYE BYE Trump!😂😂😂😂😂🎉🎉,2020-11-07T20:06:02Z,-1,0,1,0
"here i am, in 2020, during bidens win.",2020-11-07T19:55:51Z,1,1,0,0
Don't Cry Because It's Over; Smile Because It Happened,2020-11-07T19:50:13Z,-1,0,1,0
Biden won.,2020-11-07T19:29:12Z,1,1,0,0
Who's watching this after Trump lost. Good times,2020-11-07T19:25:32Z,-1,0,1,0
Lmaooo,2020-11-07T19:24:11Z,1,1,0,0
Who's here after he lost to Biden?,2020-11-07T19:20:27Z,-1,0,1,0
Waiting for this fucker to concede,2020-11-07T19:17:15Z,1,1,0,0
"Rebuilding our inner cities =lie
Make our economy flourish = made it worse than when Obama first got elected. 
Getting the violence in our country under control= made it more violent.


Biden you have my full support to undo what this stupid son of a bitch did. God bless America!",2020-11-07T19:06:24Z,-1,0,1,0
